Physician,Date,NewPrescription,Samples,Details,CompetitorNew,MedicalCPI,DRG,Psych
70,2,12,0,1,47,246.6,390.86,0
71,2,11,0,2,6,246.6,390.86,0
72,2,10,6,1,5,246.6,390.86,0
73,2,12,0,3,13,246.6,390.86,0
74,2,10,0,0,16,246.6,390.86,0
75,2,10,0,0,8,246.6,390.86,0
76,2,11,0,4,39,246.6,390.86,0
77,2,12,12,3,13,246.6,390.86,0
78,2,12,8,2,8,246.6,390.86,0
79,2,10,0,2,9,246.6,390.86,0
80,2,12,0,5,20,246.6,390.86,0
81,2,11,0,3,18,246.6,390.86,0
82,2,12,0,5,9,246.6,390.86,0
83,2,10,0,0,6,246.6,390.86,0
84,2,10,0,0,14,246.6,390.86,0
85,2,11,0,0,24,246.6,390.86,0
86,2,11,0,0,32,246.6,390.86,0
87,2,13,13,5,25,246.6,390.86,0
88,2,11,0,1,12,246.6,390.86,0
89,2,11,0,2,7,246.6,390.86,0
90,2,11,0,1,38,246.6,390.86,0
91,2,10,0,0,19,246.6,390.86,0
92,2,10,0,0,23,246.6,390.86,0
93,2,10,0,0,5,246.6,390.86,0
94,2,11,0,0,22,246.6,390.86,0
95,2,10,0,0,16,246.6,390.86,0
96,2,11,0,2,11,246.6,390.86,0
97,2,11,0,4,17,246.6,390.86,0
98,2,10,10,0,53,246.6,390.86,0
99,2,12,10,1,36,246.6,390.86,0
100,2,12,2,3,16,246.6,390.86,0
101,2,11,0,0,1,246.6,390.86,0
102,2,10,0,0,17,246.6,390.86,1
103,2,10,0,0,13,246.6,390.86,0
104,2,10,0,1,9,246.6,390.86,0
105,2,11,0,1,21,246.6,390.86,0
106,2,11,9,2,19,246.6,390.86,0
107,2,11,15,3,18,246.6,390.86,0
108,2,11,10,2,8,246.6,390.86,0
109,2,10,0,1,18,246.6,390.86,0
110,2,11,0,1,57,246.6,390.86,0
111,2,11,0,2,39,246.6,390.86,0
112,2,11,8,1,30,246.6,390.86,0
113,2,11,5,1,30,246.6,390.86,0
114,2,11,0,1,13,246.6,390.86,0
115,2,10,0,0,16,246.6,390.86,0
116,2,11,9,3,32,246.6,390.86,0
117,2,10,0,0,21,246.6,390.86,0
118,2,12,3,5,16,246.6,390.86,0
119,2,10,0,0,21,246.6,390.86,0
120,2,11,0,2,14,246.6,390.86,0
121,2,12,0,2,31,246.6,390.86,0
122,2,13,35,3,26,246.6,390.86,0
123,2,12,0,2,5,246.6,390.86,0
124,2,10,0,0,22,246.6,390.86,0
125,2,11,0,2,34,246.6,390.86,0
126,2,11,0,0,48,246.6,390.86,0
127,2,10,0,0,27,246.6,390.86,0
128,2,10,0,0,13,246.6,390.86,0
129,2,11,0,3,20,246.6,390.86,0
130,2,11,0,1,10,246.6,390.86,0
131,2,11,0,2,35,246.6,390.86,0
132,2,10,0,0,5,246.6,390.86,0
133,2,10,0,0,15,246.6,390.86,0
134,2,12,6,2,15,246.6,390.86,0
135,2,11,0,1,31,246.6,390.86,0
136,2,12,4,3,66,246.6,390.86,0
137,2,10,0,0,22,246.6,390.86,0
138,2,11,0,3,29,246.6,390.86,0
139,2,11,0,1,21,246.6,390.86,0
140,2,11,2,2,13,246.6,390.86,0
141,2,11,4,1,32,246.6,390.86,0
142,2,12,2,2,39,246.6,390.86,0
143,2,12,0,4,24,246.6,390.86,0
144,2,11,10,1,23,246.6,390.86,0
145,2,11,0,4,8,246.6,390.86,0
146,2,10,0,0,37,246.6,390.86,0
147,2,12,8,3,14,246.6,390.86,0
148,2,11,0,3,31,246.6,390.86,0
149,2,12,0,1,33,246.6,390.86,0
150,2,12,18,2,48,246.6,390.86,0
151,2,11,0,1,22,246.6,390.86,0
152,2,11,3,3,25,246.6,390.86,0
153,2,12,2,4,7,246.6,390.86,0
154,2,11,5,1,10,246.6,390.86,0
155,2,12,3,1,29,246.6,390.86,0
156,2,10,0,0,10,246.6,390.86,0
157,2,10,0,0,36,246.6,390.86,0
158,2,11,4,2,9,246.6,390.86,0
159,2,11,12,2,72,246.6,390.86,0
160,2,12,0,6,14,246.6,390.86,0
161,2,11,11,3,32,246.6,390.86,0
162,2,12,10,3,22,246.6,390.86,0
163,2,11,0,4,38,246.6,390.86,0
164,2,10,0,0,7,246.6,390.86,0
165,2,11,0,2,14,246.6,390.86,0
166,2,10,0,2,16,246.6,390.86,0
167,2,10,0,0,7,246.6,390.86,0
168,2,11,0,2,7,246.6,390.86,1
169,2,10,0,0,0,246.6,390.86,0
170,2,11,0,1,16,246.6,390.86,0
171,2,10,0,0,18,246.6,390.86,0
172,2,11,0,3,13,246.6,390.86,0
173,2,12,15,2,5,246.6,390.86,0
174,2,10,1,1,14,246.6,390.86,0
175,2,11,0,0,38,246.6,390.86,0
176,2,13,22,4,12,246.6,390.86,0
177,2,10,0,0,2,246.6,390.86,0
178,2,13,0,2,61,246.6,390.86,0
179,2,11,4,1,26,246.6,390.86,0
180,2,11,0,3,65,246.6,390.86,0
181,2,11,0,0,18,246.6,390.86,0
182,2,11,4,2,24,246.6,390.86,0
183,2,11,0,1,6,246.6,390.86,0
1,3,10,0,0,7,247.7,395.64,1
2,3,11,4,3,13,247.7,395.64,0
3,3,11,4,4,23,247.7,395.64,0
4,3,10,0,0,23,247.7,395.64,0
5,3,11,0,2,2,247.7,395.64,0
6,3,12,18,2,11,247.7,395.64,0
7,3,11,0,0,9,247.7,395.64,0
8,3,12,0,0,14,247.7,395.64,0
9,3,10,1,1,11,247.7,395.64,0
10,3,11,3,2,10,247.7,395.64,0
11,3,10,0,0,5,247.7,395.64,0
12,3,10,0,0,10,247.7,395.64,0
13,3,11,25,2,8,247.7,395.64,0
14,3,10,0,0,15,247.7,395.64,0
15,3,10,0,0,2,247.7,395.64,0
16,3,12,0,2,21,247.7,395.64,0
17,3,10,0,0,8,247.7,395.64,0
18,3,12,0,0,6,247.7,395.64,0
19,3,12,6,1,25,247.7,395.64,0
20,3,11,0,0,9,247.7,395.64,0
21,3,10,0,2,21,247.7,395.64,0
22,3,11,7,3,15,247.7,395.64,0
23,3,13,4,2,2,247.7,395.64,0
24,3,11,0,1,23,247.7,395.64,0
25,3,10,0,0,14,247.7,395.64,0
26,3,10,6,1,26,247.7,395.64,0
27,3,11,5,1,21,247.7,395.64,0
28,3,10,0,0,12,247.7,395.64,0
29,3,11,0,1,21,247.7,395.64,0
30,3,11,0,1,11,247.7,395.64,0
31,3,12,0,1,19,247.7,395.64,0
32,3,11,6,2,2,247.7,395.64,0
33,3,10,0,1,6,247.7,395.64,0
34,3,12,5,4,6,247.7,395.64,0
35,3,11,0,2,11,247.7,395.64,0
36,3,10,0,1,14,247.7,395.64,0
37,3,11,0,1,17,247.7,395.64,0
38,3,11,0,1,12,247.7,395.64,0
39,3,11,0,2,9,247.7,395.64,0
40,3,11,0,2,12,247.7,395.64,0
41,3,12,4,1,7,247.7,395.64,0
42,3,10,0,0,11,247.7,395.64,0
43,3,12,2,3,9,247.7,395.64,0
44,3,11,0,0,18,247.7,395.64,0
45,3,10,0,0,18,247.7,395.64,0
46,3,11,0,1,52,247.7,395.64,0
47,3,10,0,0,64,247.7,395.64,0
48,3,11,0,3,46,247.7,395.64,0
49,3,12,6,2,16,247.7,395.64,0
50,3,11,0,1,11,247.7,395.64,0
51,3,12,0,1,10,247.7,395.64,0
52,3,10,0,0,5,247.7,395.64,0
53,3,11,6,1,9,247.7,395.64,0
54,3,11,0,2,8,247.7,395.64,0
55,3,11,4,2,12,247.7,395.64,0
56,3,11,0,1,7,247.7,395.64,0
57,3,11,0,1,11,247.7,395.64,0
58,3,13,16,2,38,247.7,395.64,0
59,3,11,0,1,18,247.7,395.64,0
60,3,11,0,2,6,247.7,395.64,0
61,3,11,0,1,26,247.7,395.64,0
62,3,13,0,3,1,247.7,395.64,0
63,3,12,8,2,33,247.7,395.64,0
64,3,11,0,3,23,247.7,395.64,0
65,3,11,0,1,16,247.7,395.64,0
66,3,10,0,1,4,247.7,395.64,0
67,3,10,0,1,20,247.7,395.64,0
68,3,11,0,2,23,247.7,395.64,0
69,3,12,20,2,22,247.7,395.64,0
70,3,12,0,0,48,247.7,395.64,0
71,3,11,0,1,1,247.7,395.64,0
72,3,10,0,0,3,247.7,395.64,0
73,3,12,0,1,10,247.7,395.64,0
74,3,10,0,0,11,247.7,395.64,0
75,3,10,0,0,5,247.7,395.64,0
76,3,11,0,3,33,247.7,395.64,0
77,3,12,0,3,23,247.7,395.64,0
78,3,12,4,2,4,247.7,395.64,0
79,3,10,0,1,8,247.7,395.64,0
80,3,12,0,1,30,247.7,395.64,0
81,3,11,0,3,25,247.7,395.64,0
82,3,12,0,2,14,247.7,395.64,0
83,3,10,0,0,8,247.7,395.64,0
84,3,10,0,0,15,247.7,395.64,0
85,3,11,0,2,12,247.7,395.64,0
86,3,12,12,2,25,247.7,395.64,0
87,3,13,6,4,19,247.7,395.64,0
88,3,11,0,1,15,247.7,395.64,0
89,3,11,0,2,5,247.7,395.64,0
90,3,11,0,1,48,247.7,395.64,0
91,3,10,0,0,13,247.7,395.64,0
92,3,10,0,1,23,247.7,395.64,0
93,3,10,0,0,5,247.7,395.64,0
94,3,12,20,1,9,247.7,395.64,0
95,3,10,0,0,16,247.7,395.64,0
96,3,11,0,3,3,247.7,395.64,0
97,3,11,0,0,8,247.7,395.64,0
98,3,10,0,0,34,247.7,395.64,0
99,3,12,10,2,25,247.7,395.64,0
100,3,12,0,2,19,247.7,395.64,0
101,3,12,0,4,8,247.7,395.64,0
102,3,10,0,0,9,247.7,395.64,1
